TELERIDE_NUMBER,STOP_NAME,STATUS,point
4492,SB 44 ST SE @ 14 AV SE,ACTIVE,POINT (-113.970108380451 51.0406037589017)
6233,EB 14 AV SE @ 38 ST SE,INACTIVE,POINT (-113.978023234504 51.0408808277257)
9507,SB Hamptons DR @ Hamptons WY NW,ACTIVE,POINT (-114.150781543886 51.146459089106)
7502,WB 8 AV NE @ Middleton DR,ACTIVE,POINT (-114.00904012771 51.0599392506744)
9795,NB 11 ST SW @ 8 AV SW,INACTIVE,POINT (-114.088501063745 51.0465210284479)
3967,WB Everstone BV @ James McKevitt RD SW,ACTIVE,POINT (-114.101086715626 50.9109389671356)
6515,EB Strathcona DR @ Strathcona BV SW,ACTIVE,POINT (-114.185373429582 51.0465393238526)
6482,NB 10 ST SW @ Council WY,INACTIVE,POINT (-114.088045424359 51.0244452505832)
9083,NB 19 ST NW @ Canberra RD,ACTIVE,POINT (-114.109876729509 51.0847671869934)
5439,EB 1 AV NE@ 10 ST NE,ACTIVE,POINT (-114.037234454203 51.0531741281621)
8306,SB Deer Run BV @ Canyon Meadows DR SE,ACTIVE,POINT (-114.010161264445 50.9328319708018)
8328,EB 5 AV SW @ 8 ST SW,ACTIVE,POINT (-114.080268216139 51.0487800745938)
5247,WB Centre AV @ 19 ST E,ACTIVE,POINT (-114.009432896735 51.0525194553757)
8969,NB 10 ST NW @ 20 AV NW,ACTIVE,POINT (-114.084696902425 51.0709550771171)
2526,NB Forand ST @ McLean AV SW,INACTIVE,POINT (-114.120562517578 51.003369925692)
4502,EB Whitehorn DR @ 38 ST NE,ACTIVE,POINT (-113.978091477201 51.084958226325)
5151,NB Centre ST N @ 19 AV N,ACTIVE,POINT (-114.062396373426 51.0700545282185)
9164,SB Lake Sylvan DR @ Lake Huron CR SE,ACTIVE,POINT (-114.032408643218 50.9458131446913)
5079,WB 9 AV SE @ 7 ST SE,ACTIVE,POINT (-114.04548467497 51.0439654554983)
5132,EB 17 AV SW @ Gateway DR,ACTIVE,POINT (-114.15607796978 51.0377073433701)
6621,EB 20 AV NW @ 14 ST NW,ACTIVE,POINT (-114.094135695356 51.0704706967921)
3735,NB 45 ST SW @ 30 AV SW,ACTIVE,POINT (-114.152387842349 51.0271385130446)
3605,EB Mahogany BV @ Mahogany HT SE,ACTIVE,POINT (-113.932732584929 50.9024303048198)
4634,WB Windermere RD @ 45 ST SW,ACTIVE,POINT (-114.15347639546 51.050119678622)
2474,WB Market ST @ 45 ST SE,ACTIVE,POINT (-113.946944470106 50.880925756149)
5211,NB Elbow DR @ Heritage DR SW,ACTIVE,POINT (-114.082977407017 50.9800259748796)
7855,NB  Douglasdale BV @ Douglaspark BV SE,ACTIVE,POINT (-113.992675776437 50.9379865594817)
8773,SB 51 ST SW @ Glenbrook PL,ACTIVE,POINT (-114.161183966688 51.021398160057)
6101,SB Woodpark BV @ Woodview DR SW,ACTIVE,POINT (-114.109135319136 50.9410649251275)
8824,SB Bowness RD @ 42 ST NW,ACTIVE,POINT (-114.153647145683 51.0673397628496)
6667,SB Falconbridge BV @ Martinwood RD NE,ACTIVE,POINT (-113.946968010537 51.1162251844298)
8726,SB Elbow DR @ Lansdowne AV SW,ACTIVE,POINT (-114.078792890892 51.0169012726245)
9471,WB 26 AV SE @ Fir DR SE,ACTIVE,POINT (-113.989506905163 51.0305723140987)
2238,WB Legacy Village RD SE @Legacy Village Way SE,ACTIVE,POINT (-114.026011801494 50.8599123447335)
5196,SB Elbow DR @ 89 AV SW,ACTIVE,POINT (-114.084629392749 50.9731969105739)
9100,NB Parkland BV @ Parkland WY SE,ACTIVE,POINT (-114.030389601542 50.9261165226755)
8651,EB 9 AV SW @ 5 ST SW,ACTIVE,POINT (-114.073326496551 51.0448104727472)
8430,NB McKenzie Lake BV @ McKenzie DR SE,ACTIVE,POINT (-113.990468536882 50.9027315644759)
3584,SB Cranarch RD @ Cranston AV SE,INACTIVE,POINT (-113.976405828743 50.8782948761672)
9207,NB Somerset DR @ Somerside  CL SW,ACTIVE,POINT (-114.090064031684 50.8992498674795)
